EIN,name,mission
550790330,COPTIC ORTHODOX CHARITIES INC,"TO ASSIST, REFUGEES, ASLYEES, ABUSED SPOUSES, IMMIGRANTS & THEIR FAMILIES, AND VICTIMS OF HUMAN TRAFFICKING TO ACHIEVE SELF SUFFICIENCY THROUGH A WIDE VARIETY OF PROGRAMS SUCH AS REFUGEE RECEPTION AND PLACEMENT, IMMIGRATION SERVICES, SOCIAL SERVICES, EDUCATION, EMPLOYMENT, ESSENTIAL TRANSLATION & INTERPRETATION SERVICES, TRANSPORTATION, AND REFERRALS TO AFFORDABLE LEGAL SERVICES."
222685077,VOLUNTEER ENGLISH PROGRAM,THE VOLUNTEER ENGLISH PROGRAM CONNECTS VOLUNTEERS WITH ADULT ENGLISH LANGUAGE LEARNERS TO PROVIDE ONE-TO-ONE TUTORING AND CULTURAL ENRICHMENT THAT EMPOWERS IMMIGRANTS TO BE SUCCESSFUL.
943306094,ALTERNATIVES FOR BETTER LIVING,"ALTERNATIVES HELPS FAMILIES STAY SAFE. WE OFFER COUNSELING AND EDUCATION FOR PEOPLE AT-RISK OF, OR CURRENTLY EXPERIENCING, LIFE PROBLEMS. THIS INCLUDES CRIMINAL JUSTICE, PAROLE SERVICES, OR CHILD WELFARE INVOLVEMENT. THE PRIMARY FOCI OF SERVICES ARE PARENTING, SUBSTANCE ABUSE, ANGER (OR OTHER EMOTION) MANAGEMENT, AND MENTAL HEALTH ISSUES. BY PROVIDING LOW COST, ACCESSIBLE SERVICES TO PEOPLE EXPERIENCING LIFE AND BEHAVIOR PROBLEMS ALTERNATIVES INTENDS TO REDUCE CURRENT SUFFERING AND REDUCE THE INTER- GENERATIONAL OF PROBLEM BEHAVIORS."
751855620,Momentous Institute,"Momentous Institute is dedicated to innovative mental health services, education, and professoinal training to strengthen children, families, and communities. The organization partners with over 2,350 children and family members through innovative education and therapeutic services. Momentous Institute offers a range of therapeutic services, including individual, family and group therapies, and parent education. Using a strength-based approach, children and families are able to walk through trauma, conflict and other challenges. Momentous School provides pre-kindergarten 3 through fifth grade education to students , the majoirty of whom qualify for a free or reduced lunch. Momentous School uses a strengths-based approach to weave experiences in social emotional health with a rich curriculum. The organization also invests in research and training, including the annual Changing the Odds conference, to reach far more children than could ever be seen directly."
814493445,CRISTO REY DALLAS ACADEMIC CENTER,"Cristo Rey Dallas College Prep (Cristo Rey Dallas) is a college preparatory high school for students from households of low to moderate incomes. Cristo Rey Dallas nurtures and challenges young women and men to recognize and realize their full potential as they grow to respect others and serve their community. Each student participates in the Corporate Work Study Program, which offers a prestigious weekly work study experience across all four years, and receives individualized college guidance and mental healthcare. Each year, students earn approximately 60% of their tuition through the Corporate Work Study Program (CWSP). Another 30% is contributed through community philanthropic support, which makes it possible to deliver a Cristo Rey education for only $100/month in family tuition. Cristo Rey Dallas College Prep provides a high-quality, college preparatory education exclusively to economically disadvantaged students living in southeast Dallas communities, the vast majority of whom ar"
881943134,BEHUMANKINDNESS,"BeHumanKindness is committed to creating an interpersonal relationship with refugees from areas of international conflict or tragedy. BeHumanKindness walks the journey with those in need, coming along side them to assist with humanitarian aid, human rights, relocation and other services needed to help facilitate opportunities for long term success."
431020989,MARK TWAIN ASSOCIATION FOR MENTAL HEALTH,PROVIDE OUTPATIENT MENTAL HEALTH AND SUBSTANCE USE DISORDER SERVICES AND EDUCATION TO RESIDENTS LIVING IN THE 9 NORTHEASTERN COUNTIES OF MISSOURI.
208846196,Puentes New Orleans Incorporated,"Puentes is a Spanish word meaning bridges. Since 2007, Puentes has been building bridges connecting Latin American immigrants and their children to the greater New Orleans community."
431531202,SWOPE PARKWAY HOUSING INC,"SWOPE PARKWAY HOUSING INC (HOUSING) IS A MISSOURI NOT-FOR-PROFIT CORPORATION. WHOLLY OWNED BY SWOPE HEALTH SERVICES, HOUSING WAS FORMED IN 1989 TO OWN AND OPERATE A 15-UNIT APARTMENT COMPLEX IN KANSAS CITY, MISSOURI, KNOWN AS RAINBOW RESIDENTIAL CARE (THE PROJECT), HUD PROJECT NUMBER 084-HH004. THE CORPORATION PROVIDES HOUSING TO ELDERLY AND DISABLED PERSONS, SUBJECT TO REGULATION BY THE U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD) AS TO RENTAL CHARGES AND OPERATING METHODS. LOWER RENTAL CHARGES ARE RECOVERED BY THE OWNERSHIP THROUGH RENT SUBSIDIES PROVIDED BY THE DEPARTMENT OF MENTAL HEALTH."
742436920,REFUGEE & IMMIGRANT CENTER FOR,"IN PURSUIT OF A COMPASSIONATE SOCIETY WHERE ALL PEOPLE HAVE THE RIGHT TO MIGRATE AND HUMAN RIGHTS ARE GUARANTEED, RAICES DEFENDS THE RIGHTS OF IMMIGRANTS AND REFUGEES; EMPOWERS INDIVIDUALS, FAMILIES, AND COMMUNITIES; AND ADVOCATES FOR LIBERTY AND JUSTICE."
474352872,ALABAMA COALITION FOR IMMIGRANT JUSTICE UNITED,"THE ALABAMA COALITION FOR IMMIGRANT JUSTICE IS A GRASSROOTS, STATEWIDE NETWORK OF INDIVIDUALS AND ORGANIZATIONS THAT WORKS TO ADVANCE AND DEFEND THE RIGHTS OF IMMIGRANTS IN ALABAMA."
112212496,COPAY INC,"COPAY provides substance misuse treatment and care for co-occurring mental health and relationship issues: promotes leadership, education, and community participation in all children and families; transforms and enhances communities through on-going education; services are multilingual; we help build strong, healthy families"
273994145,CITY OF REFUGE,"ORGANIZATION'S PRIMARY EXEMPT PURPOSE IS TO EDUCATE, TRAIN AND ASSIST REFUGEES AND IMMIGRANTS IN MID-MISSOURI IN AND WITH EMPLOYMENT OPPORTUNITIES AND PRACTICES, EDUCATIONAL OPTIONS, LANGUAGE SKILLS, HOUSING OPTIONS, TRANSPORTATION OPTIONS AND TRANSITIONAL LIVING ASSISTANCE, IN ORDER THAT THEY MAY BECOME PRODUCTIVE, SUCCESSFUL AND CONTRIBUTING MEMBERS OF THEIR COMMUNITY AND THE UNITED STATES."
912064768,RISE WISCONSIN INC,"ADVANCE THE WELLNESS OF CHILDREN, INDIVIDUALS, AND FAMILIES BY PROVIDING EARLY CHILDHOOD AND MENTAL HEALTH SERVICES TO HELP COMMUNITIES AND FAMILIES THRIVE."
510590173,COLLABORATIVE SOLUTIONS CORP,"PLAN, DEVELOP, IMPLEMENT, DELIVER AND COORDINATE PROGRAMS AND SERVICES WHICH PROMOTE AND ENHANCE THE PHYSICAL AND MENTAL HEALTH OF VT RESIDENTS."
352723295,SAMESAME INC,"SAMESAME'S MISSION IS TO DEVELOP AND SCALE TAILORED AND CULTURALLY RELEVANT MENTAL HEALTH INTERVENTIONS IN SERVICE TO LGBTQI+ YOUTH LIVING IN COUNTRIES WHERE IT IS ILLEGAL OR DIFFICULT TO BE LGBTQI+ ACROSS THE GLOBAL SOUTH. WE WANT TO EQUIP THEM WITH THE TOOLS THEY NEED TO IMPROVE THEIR MENTAL WELLBEING, CULTIVATE HOPE, BUILD A SENSE OF COMMUNITY AND CONNECT THEM TO OTHER POTENTIALLY LIFE-CHANGING SERVICES."
203868073,Brazos Education Loan Authority Inc,BRAZOS EDUCATION LOAN AUTHORITY (BELA) IS A SECONDARY MARKET OF COLLEGE STUDENT LOANS UNDER THE FEDERAL FAMILY EDUCATION LOAN PROGRAM (FFELP) AND HEAL STUDENT LOAN PROGRAM. BELA'S MISSION IS TO MAKE EDUCATION A REALITY BY SUPPORTING PROGRAMS AND INITIATIVES TO FINANCE EDUCATIONAL OPPORTUNITIES.
222490797,NATIONAL ALLIANCE ON MENTAL ILLNESS,"TO SUPPORT, EDUCATE AND ADVOCATE UNTIL THERE IS A CURE FOR SEVERE AND PERSISTENT MENTAL ILLNESS"
371424390,Elica Health Centers,"Elica is dedicated to administering professional and compassionate health care that serve the needs of low-income, multi-ethnic populations throughout the greater Sacramento area, particularly immigrant communities, including Slavic and others."
943149136,LATINO COMMISSION ON ALCOHOL AND DRUG,"The Latino Commission provides a multitude of services throughout the counties of San Francisco, San Mateo, and Tulare. The Organization currently employs twelve programs eight for adults, and four for youth and transitional age youth which include five certified and state-licensed substance abuse residential recovery facilities. Their services include intensive, outpatient, and mental health treatment services; health education; domestic violence, teen pregnancy, coming of age gender specific, parenting classes and public awareness prevention programs; safety net services for teens and adults; and distribution of emergency food and clothing for families."
237304956,BRANDON HALL SCHOOL INC,"THE BRANDON HALL SCHOOL, INC. IS AN INDEPENDENT, NONPROFIT, NONSECTARIAN, PRE-COLLEGE PREPARATORY, COEDUCATIONAL DAY AND BOYS AND GIRLS BOARDING SCHOOL WHICH PROVIDE CLASES FOR STUDENTS IN GRADES 6 THROUGH 12."
042672688,TOWARD INDEPENDENT LIVING & LEARNING INC,"TILL IS A PRIVATE, NOT-FOR-PROFIT HUMAN SERVICE AGENCY ESTABLISHED TO DEVELOP AND PROVIDE PROGRAMS AND SERVICES TO MEET THE NEEDS OF INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES, MENTAL ILLNESS, PHYSICAL HANDICAPS, EMOTIONAL PROBLEMS AND OTHER DISABILITIES."
581119726,BULLOCH ACADEMY INC,"BULLOCH ACADEMY, INC. IS A FULL SERVICE COLLEGE PREPARATORY DAY SCHOOL WHOSE MISSION IS TO CHALLENGE, TEACH AND NURTURE TOMORROW'S LEADERS TODAY."
540506491,YOUNG WOMEN'S CHRISTIAN ASSOCIATION,"TO ELIMINATE RACISM, EMPOWER WOMEN AND TO PROMOTE PEACE, JUSTICE, FREEDOM AND DIGNITY FOR ALL. THE ORGANIZATION SERVES APPROXIMATELY 8,000 INDIVIDUALS EACH YEAR THROUGH PROGRAMS THAT ADDRESS DOMESTIC VIOLENCE, SEXUAL ASSAULT, MENTAL HEALTH, VICTIMS OF CRIME AND EQUITY AND JUSTICE TRAINING."
815445745,CROSSROADS COMMUNITIES,"CROSSROADS COMMUNITIES IS AN OREGON BASED 501(C) 3 DEDICATED TO EMPOWERING AND ENCOURAGING THOSE SUFFERING FROM HARDSHIP IN LIFE BY PROVIDING THEM A SAFE AND STABLE ENVIRONMENT TO RECOVER FROM THEIR AILMENTS,OFFERING TRAINING IN LIFE SKILLS, ADVANCEMENT IN SCHOLASTIC EDUCATION, AND PRESENTING OPTIONS FOR LEARNING MARKETABLE JOB SKILLS.WE FOCUS SPECIFICALLY,BUT NOT EXCLUSIVELY ON VETERANS, AS WELL AS THOSE SUFFERING FROM DRUG AND/OR ALCOHOL ADDICTION, AND INDIVIDUALS RECOVERING FROM TREATABLE/MANAGEABLE MENTAL ILLNESS. WE PROVIDE THE WRAP AROUND SOCIAL SERVICES TO SUPPORT OR CLIENTS VIA PARTNER SERVICE PROVIDERS."
204135679,NAMI BUCKS COUNTY PA,PROVIDE SUPPORT AND EDUCATION FOR PEOPLE WITH MENTAL HEALTH CONDITIONS AND THEIR FAMILIES.
201206371,HEART IN BALANCE,"Heart in Balance is a non-profit corporation formed in 2004 to provide education to mental health psychotherapy trainees and interns, in California. Our purpose is to provide a setting in which prospective licensed clinicians can learn and practice an integrative, holistic approach to addressing mental health concerns in our community. It is the goal of Heart in Balance to increase this knowledge within our profession so that a more diverse population will be served by psychotherapy. The carrying out of this mission is done through the following aspects of the organization:(1)Provision of Trainings and Workshops both to Heart in Balanceb"
520812433,SKILLSUSA INC,"SKILLSUSA'S MISSION IS TO EMPOWER ITS MEMBERS TO BECOME WORLD-CLASS WORKERS, LEADERS AND RESPONSIBLE AMERICAN CITIZENS. SKILLSUSA IS A NATIONAL NONPROFIT THAT PROVIDES LEADERSHIP DEVELOPMENT PROGRAMS/OPPORTUNITIES, AND CAREER FOCUSED EDUCATION, FOR TEACHERS AND HIGH SCHOOL AND COLLEGE STUDENTS WHO ARE PREPARING FOR CAREERS IN TRADE, TECHNICAL AND SKILLED SERVICE OCCUPATIONS."
843519271,IDEA Florida Inc,IDEA Florida prepares students from underserved communities to be successful college students and responsible citizens by providing educational services to students. IDEA Florida serves students in grades K-2 & 6 and will grow to serve grades K-12 when fully scaled.
420681402,SOCIETY OF BETA SIGMA PSI - EPSILON,"TO PROVIDE AN ENVIRONMENT THAT FOSTERS, ENCOURAGES, AND INSPIRES ACTIVITIES AND RELATIONSHIPS WHICH PROMOTE THE DEVELOPMENT OF MEMBERS' FAITH. ADDITIONALLY, THE CHAPTER WORKS TO PROVIDE ACADEMIC SUPPORT, SOCIAL DEVELOPMENT, AND COMMUNITY SERVICE OPPORTUNITIES FOR ITS MEMBERS, WHO ARE COLLEGE STUDENTS."
455494299,Flocks Guardians Inc,"PROVIDE REPRESENTATIVE PAYEE SERVICES, COMMUNITY SKILLS TRAINING, MENTAL HEALTH SERVICES, GUARDIANSHIP SERVICES FOR PERSONS AND ESTATES TO PEOPLE WITH DEVELOPMENTAL OR PHYSICAL DISABILITIES."
810629304,B&D Integrated Health Services,"B&D Integrated Health Services meets the diverse needs of its clients by using approaches that are designed to be flexible, client centered, family-focused, culturally respnsive and empirically-based. We empower families and individuals by promoting collaboration between our clients, their community supports (family, friends, mates) and our behavioral associates to improve their behavioral and mental health outcomes."
274618713,NC FIELD INC,"THE ORGANIZATION WORKS WITH MIGRANT AND SEASONAL FARMWORKER YOUTH AND FAMILIES UTILIZING GRASSROOTS ORGANIZING PRINCIPLE TO TEACH LEADERSHIP, PROMOTE EDUCATION, AND FACILITATE OPPORTUNITIES. THE MISSION OF THE ORGANIZATION IS TO FORGE RELATIONSHIPS THAT FILL SERVICE GAPS IN THE FARMWORKER COMMUNITY, WHILE INCREASING AWARENESS OF THE PLIGHT OF THE FARMWORKER THROUGH 1) REFERRING FARMWORKERS TO NEEDED SERVICES, 2) CONDUCTING POPULAR EDUCATION PROGRAMS, 3) OPENING OPPORTUNITIES TO FARMWORKER YOUTH, AND 4) PARTICIPATING IN EXHIBITIONS, CONFERENCES, AND FORUMS TO ADDRESS ISSUES THAT AFFECT THE FARMWORKER COMMUNITY."
800576752,APPELO ARCHIVES CENTER,"To establish an Archives Center to gather, protect and make available to the public items of memory, articles of historic importance, books, papers, memorabilia and materials reflecting the historic traditions and heritage of the SW Washington area, specifically of a Scandinavian nature. This geographic area will include SE Pacific County and Western Wahkiakum County, areas where Scandinavian immigrants pioneered the communities that settled SW Washington."
823294698,CUAUTLA LOS HIJOS AUSENTES INC,THE ORGANIZATIONS PRIMARY PURPOSE IS TO UNIFY IMMIGRANT FAMILIES.
520966155,THE ROCK CREEK FOUNDATION FOR,HABILITATION SERVICES TO PEOPLE WITH DEVELOPMENTAL DISABILITIES AND PSYCHIATRIC REHABILITATION FOR PEOPLE WITH SEVERE AND PERSISTENT MENTAL ILLNESS.
135638826,KAREN HORNEY CLINIC INC,"TO PROVIDE AMBULATORY DIAGNOSTIC AND MENTAL HEALTH TREATMENT SERVICES TO ADULTS, ADOLESCENTS AND CHILDREN WHO HAVE A DIAGNOSIS OF MENTAL ILLNESS."
540506306,BRIDGEWATER COLLEGE,"BRIDGEWATER COLLEGE EDUCATES THE WHOLE PERSON BY PROVIDING A CHALLENGING AND SUPPORTIVE LEARNING COMMUNITY THAT FOSTERS THE GROWTH OF ITS STUDENTS AND EMPOWERS AND MOTIVATES THEM TO LIVE EDUCATED, INTELLIGENT, HEALTHY, PURPOSEFUL AND ETHICAL LIVES IN A GLOBAL SOCIETY. THE COLLEGE EMBRACES THE CORE VALUES OF INTEGRITY, EQUALITY, SERVICE AND COMMUNITY, WHICH HAVE BEEN INSPIRED BY ITS HISTORY WITH THE CHURCH OF THE BRETHREN. THE COLLEGE IS A WELCOMING, DIVERSE AND VIBRANT COMMUNITY, COMMITTED TO UNDERSTANDING AND RESPECTING INDIVIDUAL DIFFERENCES AND ACTIVELY ENGAGING ALL OF ITS MEMBERS."
874019374,SYM YOUTH ORGANIZATION,"To provide financial assistance to better the lives of members of the American Muslim Community and refugees in Jordan. and Open clinics for vaccination and point of care. Mentoring, improving and assisting the underprivileged on medical practices"
237014595,THE HOUSE OF HOPE INC,"HOUSE OF HOPE'S MISSION IS TO PROVIDE THE TOOLS TO ACHIEVE RECOVERY FROM ADDICTION AND ADDRESS MENTAL HEALTH ISSUES WHILE TRANSFORMING LIVES, FAMILIES AND COMMUNITIES. HOUSE OF HOPE PROVIDES HOPE FOR THE FUTURE AND HEALING TO THOSE IN NEED OF A SECOND CHANCE.SINCE JANUARY 1969, HOUSE OF HOPE HAS PROVIDED HOPE AND HEALING TO MEN AND WOMEN IN SOUTH FLORIDA WHO SUFFER FROM ADDICTION AND CO-OCCURRING BEHAVIORAL HEALTH DISORDERS IN A LIFE-AFFIRMING, RESIDENTIAL SETTING.HOUSE OF HOPE HELPS THESE INDIVIDUALS RETURN TO THE COMMUNITY WITH KNOWLEDGE AND SKILLS NEEDED TO EMBRACE PERSONAL RESPONSIBILITY, RENEW AND REBUILD FAMILY RELATIONSHIPS, MAINTAIN STABLE EMPLOYMENT, AND DEVELOP CRITICAL RECOVERY SUPPORT SYSTEMS. HOUSE OF HOPE'S GOAL IS TO RETURN RESIDENTS TO THE COMMUNITY AS VITAL, PRODUCTIVE AND SELF-SUPPORTING CITIZENS."
562472825,HILLEL OF BROWARD AND PALM BEACH INC,"THERE ARE APPROXIMATELY 5,000 JEWISH UNIVERSITY STUDENTS IN BROWARD AND PALM BEACH COUNTIES. HILLEL OPERATES AND MAINTAINS A FACILITY TO SERVE THE JEWISH CULTURAL, EDUCATIONAL, RELIGIOUS, AND SOCIAL NEEDS AND INTERESTS OF THE JEWISH COLLEGE STUDENTS."
273310373,PARTNERSHIP FOR SUCCESSFUL LIVING,THE CORPORATION IS ORGANIZED TO PROVIDE COMMUNITY-BASED CARE MANAGEMENT SERVICES FOR FAMILIES WITH CHILDREN WHO HAVE EMOTIONAL AND BEHAVIORAL DISTURBANCES AND PSYCHIATRIC DISORDERS. IT IS DESIGNED TO EDUCATE THE YOUTH ABOUT THEIR MENTAL HEALTH ISSUES AND TEACH THEM LIFE SKILLS.
263748676,ORAM - ORGANIZATION FOR REFUGE,"ORAM PROTECTS AND EMPOWERS LGBTIQ ASYLUM SEEKERS AND REFUGEES GLOBALLY, CREATING SUSTAINABILITY AND SYSTEMIC CHANGE. ORAM IS RECOGNIZED AS ONE OF THE FIRST INTERNATIONAL NGOS TO ASSIST PEOPLE FLEEING PERSECUTION BASED ON THEIR SEXUAL ORIENTATION AND/OR GENDER IDENTITY AND EXPRESSION AND HAS SINCE BECOME A THOUGHT LEADER IN LGBTIQ MIGRATION."
943178158,Attitudinal Healing Connection Inc,"Attitudinal Healing Connection's (AHC) work is to eliminate violence by offering creative and educational programs that transform the human spirit and build peaceful, loving communities for all humanity. AHC envisions a world where everyone is whole, safe, loved, educated and valued. AHC builds healthy communities by breaking the cycle of violence through platforms for creative expression and communication for children, youth, adults and families. Through our educational programs, workshops, events, and healing circles, we cultivate skills in personal development, community leadership, and the arts. Our work is based on the principals of Attitudinal Healing, a non-traditional approach to mental health that develops resiliency by promoting self-awareness, mindfulness and compassion."
273252061,CREDO HIGH SCHOOL,"CREDO HIGH SCHOOL IS A TUITION-FREE, COLLEGE PREP PUBLIC CHARTER SCHOOL IN ROHNERT PARK, CALIFORNIA, INSPIRED BY WALDORF EDUCATION AND SERVING STUDENTS IN NINTH THROUGH TWELFTH GRADES. CREDO OFFERS A RIGOROUS ACADEMIC CURRICULUM THAT EXCEEDS UNIVERSITY OF CALIFORNIA (A-G) ADMISSION REQUIREMENTS AND INCLUDES A FULL COMPLEMENT OF SPECIALTY SUBJECTS, INCLUDING FOREIGN LANGUAGES (SPANISH, MANDARIN), VISUAL ARTS (PAINTING, DRAWING, PRINTMAKING, SCULPTURE, PHOTOGRAPHY), PRACTICAL ARTS (MEDIA ARTS, BLACKSMITHING, WOODWORKING, BOOKBINDING, CERAMICS) THEATER, MUSIC (CHOIR, AMERICAN MUSIC, ORCHESTRA) MOVEMENT, DANCE AND PHYSICAL EDUCATION, AND BIODYNAMIC GARDENING AND FARMING."
540525605,SHENANDOAH UNIVERSITY,"SHENANDOAH UNIVERSITY EDUCATES AND INSPIRES INDIVIDUALS TO BE CRITICAL, REFLECTIVE THINKERS; LIFELONG LEARNERS, AND ETHICAL, COMPASSIONATE CITIZENS WHO ARE COMMITTED TO MAKING RESPONSIBLE CONTRIBUTIONS WITHIN A COMMUNITY, A NATION AND THE WORLD."
871660329,Grace William Health Systems Inc,"Grace Williams Health Systems, Inc is a Wellbeing Clinic and Community Hub for support services in the eight pillars of Wellness. Grace Williams Health Systems offers mental health services, wellness classes and programs, and a space for individuals and families to grow"
263217384,GLOBAL FRIENDS COALITION,TO ASSIST REFUGEES (NEW AMERICANS) IN THEIR INTEGRATION INTO THE LOCAL COMMUNITY WITH VOLUNTEER MENTORS & ENGLISH LANGUAGE TUTORS WHO ASSIST WITH ORIENTATION TO THE USA & WITH EMPLOYMENT & SOCIAL SERVICE CONNECTIONS & COMMUNITY BRIDGING EVENTS.
462500358,ARCHWAY INSTITUTE FOR MENTAL HEALTH AND,"TO SERVE THE COMMUNITY BY PROVIDING EDUCATION TO INCREASE AWARENESS AND TRANSFORM PERSPECTIVES AROUND SUBSTANCE USE AND CO-OCCURING MENTAL HEALTH DISORDERS. AS AN ORGANIZATION, WE ADVOCATE FOR LONG-TERM RECOVERY BY PROVIDING PEER SUPPORT AND FINANCIAL ASSISTANCE TO EXPAND ACCESS TO CARE AND HEALTHY SOLUTIONS."
522203956,KEHILLAH JEWISH HIGH SCHOOL,"KEHILLAH IS A CONTEMPORARY INDEPENDENT, COLLEGE PREPARATORY HIGH SCHOOL FOR STUDENTS IN GRADES 9-12 DISTINGUISHED BY AN EXCEPTIONAL ACADEMIC PROGRAM AND A SUPPORTIVE ENVIRONMENT THAT PAIRS RICH JEWISH TRADITION WITH THE BEST OF THE SILICON VALLEY MINDSET. AT KEHILLAH, STUDENTS EMBARK ON A JOURNEY OF SELF-DISCOVERY GUIDED BY A COMMUNITY OF PASSIONATE EDUCATORS. THEY GRADUATE WITH THE KNOWLEDGE, VALUES, AND COMMUNITY THAT ENABLE THEM TO CREATE EXTRAORDINARY FUTURES."
870635375,EQUINE ASSISTED GROWTH AND LEARNING ASSOCIATION INC (EAGALA),TO IMPROVE THE MENTAL HEALTH NEEDS WORLDWIDE THROUGH ACCESS TO EQUINE - ASSISTED PSYCHOTHERAPY AND PERSONAL DEVELOPMENT
431554307,FRIENDS OF PSYCHIATRY FOUNDATION,FRIENDS OF PSYCHIATRY FOUNDATION WILL SUPPORT ACTIVITIES CONDUCTED BY FACULTY MEMBERS AND OTHER ASSOCIATED STAFF AT THE TRAINING SITES OF THE DEPARTMENT OF PSYCHIATRY AND BY KEY DEPARTMENT OF PSYCHIATRY STAKEHOLDERS IN ORDER TO PROMOTE EDUCATION AND RESEARCH IN MENTAL HEALTH.
831115140,MIDCOAST COMMUNITY ALLIANCE,"TO EMPOWER MIDCOAST YOUTH TO BE HEALTHY, ENGAGED, AND RESILIENT, BY OFFERING RECREATION, EDUCATION & ENRICHMENT, LEADERSHIP & LIFE SKILLS, REFERRALS TO MENTAL HEALTH SUPPORT & SUBSTANCE USE TREATMENT, AND SUPPORT TO YOUTH EXPERIENCING HOUSING INSECURITY."
